latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds,runtime
2026-04-05 01:00,66836.9375,67237.5,66900.0,67151.1,8,5,3.3901973168055215
2026-04-05 03:00,66893.75,67215.0,67072.1,67164,8,5,3.492646571000417
2026-04-05 02:00,66909.09090909091,67251.81818181818,67034.8,67164.0,11,5,3.7008434454600017

total_runtime_mins,3.7
hit_rate,1
