latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds,runtime,loss
2026-04-05 02:00,66911.11111111111,67222.22222222222,67072.1,67164.0,9,3,2.868406768639882,219.21111111111531
2026-04-05 03:00,66883.33333333333,67208.33333333333,67034.8,67160.0,6,3,2.867940135796865,199.8000000000029
2026-04-05 04:00,66945.83333333333,67187.5,66875.3,67127.5,12,3,2.8718544681866964,
2026-04-05 05:00,66678.57142857143,67135.71428571429,66575.5,66914.0,7,3,2.872468447685242,
2026-04-05 01:00,66768.18181818182,67250.0,66900.0,67151.1,11,3,2.8923081040382383,230.7181818181707
2026-04-05 07:00,66102.85714285714,66957.14285714286,66782.1,66910.0,7,3,1.2698475956916808,726.385714285716
2026-04-05 09:00,66816.66666666667,67077.77777777778,66928.1,67124.8,9,3,1.3847416400909425,
2026-04-05 06:00,66481.25,67031.25,66685.3,66881.0,8,3,1.4667221188545227,354.3000000000029
2026-04-05 08:00,66746.71666666666,67052.71666666666,66862.8,67005.0,6,3,1.603568923473358
2026-04-05 10:00,66842.85714285714,67214.28571428571,66934.4,67053.5,7,3,1.637567432721456

avg_loss,346.0830
total_runtime_mins,4.4
hit_rate,0.625000
avg_loss,346.0830
