latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds,runtime,loss
2026-04-05 01:00,66952.1,67265.0,66900.0,67151.1,10,5,0.047824581464131675,
2026-04-05 03:00,66900.0,67196.66666666667,67034.8,67160.0,6,5,2.7925162235895793,171.46666666667443
2026-04-05 02:00,66861.11111111111,67261.11111111111,67072.1,67164.0,9,5,3.1169867157936095,308.1000000000058
2026-04-05 04:00,66916.48000000001,67205.0,66875.3,67127.5,10,5,3.5575490752855936,
2026-04-05 05:00,66668.75,67150.0,66575.5,66914.0,8,5,2.710338576634725,
2026-04-05 06:00,66450.0,67021.42857142857,66685.3,66881.0,7,5,3.3134645819664,375.7285714285681
2026-04-05 07:00,65854.44444444444,67044.44444444444,66782.1,66910.0,9,5,3.2322144071261087,1062.1000000000058
2026-04-05 08:00,66785.05,67031.66666666667,66862.8,67005.0,6,5,3.42316974401474,104.41666666667152
2026-04-05 09:00,66831.25,67093.75,66928.1,67124.8,8,5,3.1946608622868857,

hit_rate,0.555556
avg_loss,404.3624
