latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds,runtime,loss
2026-04-05 03:00,66941.66666666667,67200.0,67034.8,67160.0,6,3,1.085401995976766,133.1333333333314
2026-04-05 02:00,66900.0,67255.55555555556,67072.1,67164.0,9,3,1.5755842685699464,263.65555555556784
2026-04-05 01:00,66745.45454545454,67254.54545454546,66900.0,67151.1,11,3,2.1899450500806172,257.9909090909059
2026-04-05 05:00,66700.0,67100.0,66575.5,66914.0,7,3,3.1309091687202453,
2026-04-05 08:00,66746.66666666667,67033.33333333333,66862.8,67005.0,6,3,3.619608048597972,144.46666666665988
2026-04-05 10:00,66871.42857142857,67207.14285714286,66934.4,67053.5,7,3,3.6379841128985086,216.61428571428405
2026-04-05 07:00,65692.85714285714,67028.57142857143,66782.1,66910.0,7,3,4.385577551523844,1207.8142857142957
2026-04-05 06:00,66506.25,67025.0,66685.3,66881.0,8,3,4.394466618696849,323.0500000000029
2026-04-05 09:00,66816.66666666667,67105.55555555556,66928.1,67124.8,9,3,5.945428542296091,
2026-04-05 04:00,66766.66666666667,67220.83333333333,66875.3,67127.5,12,3,6.170580434799194,201.96666666665988

avg_loss,343.5865

total_runtime_mins,6.2
hit_rate,0.800000
