latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds,runtime,loss
2026-04-05 02:00,66922.22222222222,67222.22222222222,67072.1,67164.0,9,5,0.0443041205406189,208.10000000000582
2026-04-05 04:00,66893.0,67200.0,66875.3,67127.5,10,5,0.04418479204177857,
2026-04-05 01:00,66810.0,67280.0,66900.0,67151.1,10,5,0.052304402987162275,218.89999999999418
2026-04-05 06:00,66507.14285714286,67035.71428571429,66685.3,66881.0,7,5,0.027478563785552978,332.8714285714377
2026-04-05 05:00,66656.25,67175.0,66575.5,66914.0,8,5,0.035680607954661055,
2026-04-05 03:00,66887.01666666666,67200.0,67034.8,67160.0,6,5,0.11924975315729777,187.78333333334012
2026-04-05 07:00,65766.66666666667,67055.55555555556,66782.1,66910.0,9,5,0.052114407221476235,1160.9888888888963
2026-04-05 08:00,66708.33333333333,67050.0,66862.8,67005.0,6,5,0.04419855276743571,199.46666666667443
2026-04-05 09:00,66812.5,67150.0,66928.1,67124.8,8,5,0.0436314860979716,140.8000000000029
2026-04-05 10:00,66807.14285714286,67221.42857142857,66934.4,67053.5,7,5,0.044459362824757896,295.1857142857043


total_runtime_mins,0.2
hit_rate,0.800000
avg_loss,343.0120
