latest_chart_time,predicted_low,predicted_high,actual_low,actual_high,agent_count,simulation_rounds
2026-04-05 01:00,67024.65,67145.0,66900.0,67151.1,10,10
2026-04-05 02:00,66995.41666666667,67202.91666666667,67072.1,67164.0,12,10
2026-04-05 03:00,67056.66666666667,67148.88888888889,67034.8,67164.0,9,10
